,Name,Individual voxel z-score,Individual voxel Posterior prob,Seed-based network Func conn. (r),Seed-based network Meta-analytic coact. (r),x,y,z,"x, y, z"
853,opercularis,0.0,0.47,0.03,0.02,10,10,10,"10, 10, 10"
854,operculum,0.0,0.44,-0.05,-0.02,10,10,10,"10, 10, 10"
855,oral,-0.0,0.36,-0.04,-0.0,10,10,10,"10, 10, 10"
856,orbital,-0.0,0.6,0.0,-0.02,10,10,10,"10, 10, 10"
857,orbitofrontal,-0.0,0.54,0.08,0.01,10,10,10,"10, 10, 10"
858,orbitofrontal cortex,0.0,0.53,0.07,0.01,10,10,10,"10, 10, 10"
859,organization,0.0,0.49,0.0,-0.0,10,10,10,"10, 10, 10"
860,orientation,-0.0,0.46,-0.03,-0.01,10,10,10,"10, 10, 10"
861,oriented,-0.0,0.49,-0.01,-0.0,10,10,10,"10, 10, 10"
862,orienting,-0.0,0.46,-0.06,-0.01,10,10,10,"10, 10, 10"
863,orthographic,-0.0,0.61,-0.02,0.02,10,10,10,"10, 10, 10"
864,oscillations,0.0,0.51,-0.02,-0.0,10,10,10,"10, 10, 10"
865,outcome,-0.0,0.58,0.07,0.16,10,10,10,"10, 10, 10"
866,outcomes,0.0,0.51,0.06,0.14,10,10,10,"10, 10, 10"
867,pain,0.0,0.46,0.01,0.05,10,10,10,"10, 10, 10"
868,painful,0.0,0.29,-0.0,0.04,10,10,10,"10, 10, 10"
869,pair,0.0,0.53,-0.01,-0.0,10,10,10,"10, 10, 10"
870,paired,-0.0,0.36,0.0,-0.01,10,10,10,"10, 10, 10"
871,pairs,-0.0,0.47,0.03,0.02,10,10,10,"10, 10, 10"
872,pallidus,-0.0,0.68,0.06,0.08,10,10,10,"10, 10, 10"
873,parahippocampal,-0.0,0.47,-0.08,-0.02,10,10,10,"10, 10, 10"
874,parahippocampal cortex,-0.0,0.5,-0.07,-0.02,10,10,10,"10, 10, 10"
875,parahippocampal gyrus,0.0,0.51,-0.06,-0.02,10,10,10,"10, 10, 10"
876,parahippocampus,-0.0,0.39,-0.01,-0.02,10,10,10,"10, 10, 10"
877,paralimbic,0.0,0.72,0.0,-0.02,10,10,10,"10, 10, 10"
878,parietal,0.0,0.48,-0.1,0.03,10,10,10,"10, 10, 10"
879,parietal cortex,-0.0,0.45,-0.06,0.06,10,10,10,"10, 10, 10"
880,parietal cortices,0.0,0.54,-0.01,-0.0,10,10,10,"10, 10, 10"
881,parietal frontal,0.0,0.51,-0.06,0.0,10,10,10,"10, 10, 10"
882,parietal junction,-0.0,0.39,0.01,-0.02,10,10,10,"10, 10, 10"
883,parietal lobe,-0.0,0.43,-0.03,-0.01,10,10,10,"10, 10, 10"
884,parietal lobes,-0.0,0.22,0.0,-0.02,10,10,10,"10, 10, 10"
885,parietal lobule,-0.0,0.51,-0.02,0.02,10,10,10,"10, 10, 10"
886,parietal lobules,-0.0,0.48,-0.04,-0.0,10,10,10,"10, 10, 10"
887,parietal network,-0.0,0.6,0.01,0.06,10,10,10,"10, 10, 10"
888,parietal occipital,-0.0,-0.0,-0.03,-0.02,10,10,10,"10, 10, 10"
889,parietal temporal,0.0,0.64,0.0,-0.02,10,10,10,"10, 10, 10"
890,parieto,0.0,0.45,-0.09,-0.02,10,10,10,"10, 10, 10"
891,parieto occipital,-0.0,0.56,-0.1,-0.02,10,10,10,"10, 10, 10"
892,parkinson,0.0,0.57,-0.01,0.01,10,10,10,"10, 10, 10"
893,parkinson disease,-0.0,0.57,-0.01,0.01,10,10,10,"10, 10, 10"
894,pars,-0.0,0.45,0.04,0.01,10,10,10,"10, 10, 10"
895,passive,0.0,0.37,-0.03,-0.01,10,10,10,"10, 10, 10"
896,passive viewing,-0.0,0.58,-0.03,-0.01,10,10,10,"10, 10, 10"
897,passively,-0.0,0.27,-0.05,-0.02,10,10,10,"10, 10, 10"
898,pcc,0.0,0.55,0.06,-0.0,10,10,10,"10, 10, 10"
899,pd,0.0,0.6,-0.01,0.0,10,10,10,"10, 10, 10"
900,people,0.0,0.5,0.02,-0.01,10,10,10,"10, 10, 10"
901,perceiving,0.0,0.23,-0.03,-0.02,10,10,10,"10, 10, 10"
902,percept,-0.0,0.51,-0.04,-0.01,10,10,10,"10, 10, 10"
903,perception,-0.0,0.44,-0.15,-0.04,10,10,10,"10, 10, 10"
904,perceptual,0.0,0.44,-0.07,-0.02,10,10,10,"10, 10, 10"
905,performance,0.0,0.48,0.04,0.07,10,10,10,"10, 10, 10"
906,performance task,-0.0,0.58,0.0,0.0,10,10,10,"10, 10, 10"
907,periaqueductal,-0.0,0.66,0.06,0.03,10,10,10,"10, 10, 10"
908,person,-0.0,0.48,-0.01,-0.03,10,10,10,"10, 10, 10"
909,personal,0.0,0.45,0.03,-0.0,10,10,10,"10, 10, 10"
910,personality,-0.0,0.52,0.02,-0.01,10,10,10,"10, 10, 10"
911,personality traits,0.0,0.43,0.03,0.0,10,10,10,"10, 10, 10"
912,persons,0.0,0.61,-0.0,-0.0,10,10,10,"10, 10, 10"
913,pfc,-0.0,0.54,0.1,0.02,10,10,10,"10, 10, 10"
914,pharmacological,0.0,0.22,-0.0,-0.01,10,10,10,"10, 10, 10"
915,phonological,-0.0,0.57,0.02,0.03,10,10,10,"10, 10, 10"
916,photographs,-0.0,0.38,-0.02,-0.02,10,10,10,"10, 10, 10"
917,picture,-0.0,0.52,-0.02,-0.01,10,10,10,"10, 10, 10"
918,pictures,0.0,0.47,-0.03,-0.01,10,10,10,"10, 10, 10"
919,pitch,0.0,0.0,-0.08,-0.04,10,10,10,"10, 10, 10"
920,place,0.0,0.49,-0.06,-0.02,10,10,10,"10, 10, 10"
921,placebo,-0.0,0.48,0.01,-0.01,10,10,10,"10, 10, 10"
922,placebo controlled,0.0,0.3,-0.01,-0.01,10,10,10,"10, 10, 10"
923,planning,-0.0,0.52,-0.07,0.02,10,10,10,"10, 10, 10"
924,planum,-0.0,-0.0,-0.07,-0.04,10,10,10,"10, 10, 10"
925,planum temporale,-0.0,0.0,-0.08,-0.04,10,10,10,"10, 10, 10"
926,plasticity,0.0,0.49,-0.02,-0.01,10,10,10,"10, 10, 10"
927,pleasant,-0.0,0.6,0.01,0.01,10,10,10,"10, 10, 10"
928,pointing,0.0,0.26,-0.04,-0.0,10,10,10,"10, 10, 10"
929,pole,0.0,0.51,-0.03,-0.03,10,10,10,"10, 10, 10"
930,poor,0.0,0.56,0.0,-0.0,10,10,10,"10, 10, 10"
931,positive negative,0.0,0.67,0.03,0.02,10,10,10,"10, 10, 10"
932,postcentral,0.0,0.44,-0.12,-0.03,10,10,10,"10, 10, 10"
933,postcentral gyrus,0.0,0.36,-0.08,-0.02,10,10,10,"10, 10, 10"
934,posterior,0.0,0.45,-0.01,-0.04,10,10,10,"10, 10, 10"
935,posterior anterior,0.0,0.22,-0.02,-0.01,10,10,10,"10, 10, 10"
936,posterior cingulate,0.0,0.45,0.08,-0.02,10,10,10,"10, 10, 10"
937,posterior inferior,-0.0,0.37,0.01,0.01,10,10,10,"10, 10, 10"
938,posterior insula,-0.0,0.47,-0.05,-0.02,10,10,10,"10, 10, 10"
939,posterior middle,-0.0,0.29,-0.0,-0.02,10,10,10,"10, 10, 10"
940,posterior parietal,0.0,0.45,-0.12,0.02,10,10,10,"10, 10, 10"
941,posterior superior,0.0,0.47,-0.09,-0.04,10,10,10,"10, 10, 10"
942,posterior temporal,0.0,0.44,-0.02,-0.03,10,10,10,"10, 10, 10"
943,posttraumatic,0.0,0.72,-0.02,-0.01,10,10,10,"10, 10, 10"
944,ppc,-0.0,0.51,-0.09,0.0,10,10,10,"10, 10, 10"
945,pre sma,0.0,0.61,0.05,0.09,10,10,10,"10, 10, 10"
946,pre supplementary,-0.0,0.44,0.07,0.07,10,10,10,"10, 10, 10"
947,precentral gyrus,-0.0,0.29,-0.02,-0.01,10,10,10,"10, 10, 10"
948,precuneus,0.0,0.43,-0.02,-0.03,10,10,10,"10, 10, 10"
949,precuneus posterior,0.0,0.51,0.01,-0.02,10,10,10,"10, 10, 10"
950,prediction,0.0,0.39,0.05,0.11,10,10,10,"10, 10, 10"
951,prediction error,0.0,0.36,0.07,0.14,10,10,10,"10, 10, 10"
952,predictions,-0.0,0.57,-0.0,-0.01,10,10,10,"10, 10, 10"
953,predictive,-0.0,0.36,-0.0,-0.01,10,10,10,"10, 10, 10"
954,preference,-0.0,0.49,-0.01,-0.0,10,10,10,"10, 10, 10"
955,preferences,0.0,0.58,0.04,0.06,10,10,10,"10, 10, 10"
956,prefrontal,0.0,0.51,0.33,0.1,10,10,10,"10, 10, 10"
957,prefrontal cortex,-0.0,0.51,0.26,0.07,10,10,10,"10, 10, 10"
958,prefrontal cortical,-0.0,0.62,0.02,0.0,10,10,10,"10, 10, 10"
959,prefrontal cortices,0.0,0.47,0.06,0.0,10,10,10,"10, 10, 10"
960,prefrontal parietal,0.0,0.57,0.06,0.05,10,10,10,"10, 10, 10"
961,premotor,0.0,0.47,-0.21,-0.03,10,10,10,"10, 10, 10"
962,premotor cortex,0.0,0.43,-0.19,-0.04,10,10,10,"10, 10, 10"
963,preparation,0.0,0.48,-0.03,0.04,10,10,10,"10, 10, 10"
964,preparatory,0.0,0.64,-0.05,0.01,10,10,10,"10, 10, 10"
965,pressure,-0.0,0.52,0.0,-0.0,10,10,10,"10, 10, 10"
966,primary,-0.0,0.51,-0.22,-0.05,10,10,10,"10, 10, 10"
967,primary auditory,0.0,0.4,-0.06,-0.03,10,10,10,"10, 10, 10"
968,primary motor,-0.0,0.44,-0.22,-0.05,10,10,10,"10, 10, 10"
969,primary secondary,-0.0,0.71,-0.07,-0.01,10,10,10,"10, 10, 10"
970,primary sensorimotor,0.0,0.45,-0.13,-0.04,10,10,10,"10, 10, 10"
971,primary somatosensory,-0.0,0.45,-0.18,-0.05,10,10,10,"10, 10, 10"
972,primary visual,0.0,0.54,-0.07,-0.02,10,10,10,"10, 10, 10"
973,prime,0.0,0.48,-0.0,-0.0,10,10,10,"10, 10, 10"
974,priming,-0.0,0.39,-0.01,-0.01,10,10,10,"10, 10, 10"
975,probabilistic,0.0,0.55,-0.0,0.02,10,10,10,"10, 10, 10"
976,probability,0.0,0.43,0.0,-0.0,10,10,10,"10, 10, 10"
977,production,-0.0,0.55,-0.09,-0.03,10,10,10,"10, 10, 10"
978,progressive,0.0,0.58,-0.0,-0.02,10,10,10,"10, 10, 10"
979,prospective,-0.0,0.56,-0.01,-0.01,10,10,10,"10, 10, 10"
980,pseudowords,0.0,0.58,-0.02,-0.0,10,10,10,"10, 10, 10"
981,psts,0.0,0.53,-0.07,-0.03,10,10,10,"10, 10, 10"
982,psychosis,,0.18,0.0,0.0,10,10,10,"10, 10, 10"
983,psychotic,0.0,0.18,0.0,-0.0,10,10,10,"10, 10, 10"
984,ptsd,6.09,6.09,0.1,0.12,10,10,10,"10, 10, 10"
985,punishment,0.0,0.69,0.09,0.18,10,10,10,"10, 10, 10"
986,putamen,4.28,0.66,0.26,0.29,10,10,10,"10, 10, 10"
987,questionnaire,0.0,0.47,0.01,-0.01,10,10,10,"10, 10, 10"
988,rating,-0.0,0.47,0.0,-0.01,10,10,10,"10, 10, 10"
989,ratings,-0.0,0.48,0.02,0.01,10,10,10,"10, 10, 10"
990,reaching,-0.0,0.57,-0.09,-0.02,10,10,10,"10, 10, 10"
991,reaction,-0.0,0.48,0.0,0.02,10,10,10,"10, 10, 10"
992,reaction time,-0.0,0.57,0.04,0.08,10,10,10,"10, 10, 10"
993,reaction times,0.0,0.42,-0.01,-0.01,10,10,10,"10, 10, 10"
994,reactions,0.0,0.51,0.02,-0.0,10,10,10,"10, 10, 10"
995,reactivity,-0.0,0.59,-0.0,0.02,10,10,10,"10, 10, 10"
996,read,0.0,0.61,0.01,-0.01,10,10,10,"10, 10, 10"
997,readers,0.0,0.47,-0.02,-0.01,10,10,10,"10, 10, 10"
998,reading,-0.0,0.48,-0.03,0.0,10,10,10,"10, 10, 10"
999,real world,-0.0,0.47,-0.01,-0.02,10,10,10,"10, 10, 10"
1000,reappraisal,0.0,0.64,0.09,0.03,10,10,10,"10, 10, 10"
1001,reasoning,-0.0,0.53,0.05,-0.0,10,10,10,"10, 10, 10"
1002,recall,0.0,0.34,-0.0,0.02,10,10,10,"10, 10, 10"
1003,recognition,-0.0,0.44,-0.08,-0.02,10,10,10,"10, 10, 10"
1004,recognition memory,-0.0,0.47,0.07,0.05,10,10,10,"10, 10, 10"
1005,recognition task,-0.0,0.43,0.01,-0.0,10,10,10,"10, 10, 10"
1006,recognize,0.0,0.22,-0.07,-0.03,10,10,10,"10, 10, 10"
1007,recognized,-0.0,0.63,-0.0,-0.01,10,10,10,"10, 10, 10"
1008,recognizing,-0.0,0.4,-0.02,-0.02,10,10,10,"10, 10, 10"
1009,recollection,0.0,0.57,0.03,-0.0,10,10,10,"10, 10, 10"
1010,reference,0.0,0.51,-0.02,-0.0,10,10,10,"10, 10, 10"
1011,referential,0.0,0.51,0.07,-0.01,10,10,10,"10, 10, 10"
1012,referred,0.0,0.55,-0.01,-0.01,10,10,10,"10, 10, 10"
1013,regulate,-0.0,0.5,0.0,-0.01,10,10,10,"10, 10, 10"
1014,regulating,-0.0,0.55,0.01,-0.0,10,10,10,"10, 10, 10"
1015,regulation,0.0,0.45,0.01,0.0,10,10,10,"10, 10, 10"
1016,regulatory,0.0,0.65,0.02,0.0,10,10,10,"10, 10, 10"
1017,rehabilitation,0.0,-0.0,-0.05,-0.01,10,10,10,"10, 10, 10"
1018,rehearsal,-0.0,0.58,0.02,-0.01,10,10,10,"10, 10, 10"
1019,reho,-0.0,0.3,-0.01,-0.01,10,10,10,"10, 10, 10"
1020,reinforcement,-0.0,0.5,0.08,0.13,10,10,10,"10, 10, 10"
1021,reinforcement learning,0.0,0.59,0.06,0.1,10,10,10,"10, 10, 10"
1022,relational,-0.0,0.46,0.02,0.01,10,10,10,"10, 10, 10"
1023,relevance,0.0,0.47,-0.01,-0.0,10,10,10,"10, 10, 10"
1024,remember,-0.0,0.31,0.02,0.0,10,10,10,"10, 10, 10"
1025,remembered,0.0,0.33,-0.01,-0.0,10,10,10,"10, 10, 10"
1026,remembering,-0.0,0.24,0.01,-0.02,10,10,10,"10, 10, 10"
1027,reorganization,0.0,0.52,-0.05,-0.02,10,10,10,"10, 10, 10"
1028,repetition,-0.0,0.37,-0.03,-0.01,10,10,10,"10, 10, 10"
1029,repetition suppression,0.0,-0.0,-0.02,-0.01,10,10,10,"10, 10, 10"
1030,response inhibition,4.08,0.71,0.12,0.12,10,10,10,"10, 10, 10"
1031,response selection,-0.0,0.56,0.01,0.01,10,10,10,"10, 10, 10"
1032,response time,0.0,0.63,-0.01,0.0,10,10,10,"10, 10, 10"
1033,response times,0.0,0.48,0.04,0.04,10,10,10,"10, 10, 10"
1034,rest,0.0,0.49,0.02,-0.0,10,10,10,"10, 10, 10"
1035,resting,0.0,0.5,-0.01,-0.11,10,10,10,"10, 10, 10"
1036,resting state,-0.0,0.52,-0.0,-0.11,10,10,10,"10, 10, 10"
1037,retention,0.0,0.5,-0.0,-0.0,10,10,10,"10, 10, 10"
1038,retrieval,-0.0,0.52,0.11,0.06,10,10,10,"10, 10, 10"
1039,retrieved,0.0,0.53,0.03,0.01,10,10,10,"10, 10, 10"
1040,retrosplenial,0.0,0.44,-0.05,-0.01,10,10,10,"10, 10, 10"
1041,retrosplenial cortex,-0.0,0.48,-0.02,-0.01,10,10,10,"10, 10, 10"
1042,reversal,0.0,0.67,0.0,0.02,10,10,10,"10, 10, 10"
1043,reward,4.1,0.63,0.24,0.34,10,10,10,"10, 10, 10"
1044,reward anticipation,0.0,0.74,0.13,0.24,10,10,10,"10, 10, 10"
1045,rewarding,0.0,0.71,0.09,0.18,10,10,10,"10, 10, 10"
1046,rewards,0.0,0.66,0.14,0.25,10,10,10,"10, 10, 10"
1047,rhythm,0.0,0.63,-0.05,-0.02,10,10,10,"10, 10, 10"
1048,risk,-0.0,0.53,0.02,0.06,10,10,10,"10, 10, 10"
1049,risk taking,0.0,0.61,0.08,0.14,10,10,10,"10, 10, 10"
1050,risky,0.0,0.67,0.04,0.09,10,10,10,"10, 10, 10"
1051,rostral,-0.0,0.49,0.03,0.02,10,10,10,"10, 10, 10"
1052,rostral anterior,-0.0,0.33,0.07,0.02,10,10,10,"10, 10, 10"
1053,rotation,0.0,0.56,-0.1,-0.01,10,10,10,"10, 10, 10"
1054,rs,0.0,0.55,0.0,-0.0,10,10,10,"10, 10, 10"
1055,rsfc,0.0,0.4,-0.01,-0.01,10,10,10,"10, 10, 10"
1056,rt,0.0,0.49,0.0,0.0,10,10,10,"10, 10, 10"
1057,rule,-0.0,0.6,0.03,0.06,10,10,10,"10, 10, 10"
1058,rules,0.0,0.6,0.04,0.04,10,10,10,"10, 10, 10"
1059,s1,0.0,0.0,-0.13,-0.03,10,10,10,"10, 10, 10"
1060,saccade,-0.0,0.25,-0.08,-0.01,10,10,10,"10, 10, 10"
1061,saccades,-0.0,0.26,-0.1,-0.01,10,10,10,"10, 10, 10"
1062,sad,0.0,0.39,-0.01,-0.01,10,10,10,"10, 10, 10"
1063,salience,0.0,0.53,-0.0,-0.0,10,10,10,"10, 10, 10"
1064,salience network,0.0,0.59,0.03,0.03,10,10,10,"10, 10, 10"
1065,salient,0.0,0.53,-0.01,0.0,10,10,10,"10, 10, 10"
1066,schizophrenia,,0.47,0.0,0.0,10,10,10,"10, 10, 10"
1067,schizophrenic,0.0,0.38,-0.0,-0.01,10,10,10,"10, 10, 10"
1068,sclerosis,-0.0,0.29,0.0,-0.0,10,10,10,"10, 10, 10"
1069,secondary somatosensory,-0.0,0.54,-0.12,-0.02,10,10,10,"10, 10, 10"
1070,selection,0.0,0.54,-0.02,0.0,10,10,10,"10, 10, 10"
1071,selective,0.0,0.43,-0.11,-0.02,10,10,10,"10, 10, 10"
1072,selective attention,-0.0,0.47,-0.05,0.0,10,10,10,"10, 10, 10"
1073,self referential,0.0,0.48,0.07,-0.01,10,10,10,"10, 10, 10"
1074,self report,-0.0,0.5,0.01,-0.0,10,10,10,"10, 10, 10"
1075,self reported,-0.0,0.5,0.03,0.05,10,10,10,"10, 10, 10"
1076,semantic,-0.0,0.48,0.07,0.01,10,10,10,"10, 10, 10"
1077,semantic memory,-0.0,0.6,-0.01,-0.02,10,10,10,"10, 10, 10"
1078,semantically,-0.0,0.46,0.06,0.01,10,10,10,"10, 10, 10"
1079,semantics,-0.0,0.61,0.01,-0.0,10,10,10,"10, 10, 10"
1080,sensation,-0.0,0.42,-0.01,0.0,10,10,10,"10, 10, 10"
1081,sensations,0.0,0.4,-0.02,-0.0,10,10,10,"10, 10, 10"
1082,sensitivity,0.0,0.56,0.01,0.06,10,10,10,"10, 10, 10"
1083,sensorimotor,-0.0,0.46,-0.23,-0.06,10,10,10,"10, 10, 10"
1084,sensorimotor cortex,0.0,0.47,-0.2,-0.05,10,10,10,"10, 10, 10"
1085,sensorimotor network,0.0,0.26,-0.08,-0.02,10,10,10,"10, 10, 10"
1086,sensory,0.0,0.55,-0.11,-0.04,10,10,10,"10, 10, 10"
1087,sensory information,0.0,0.61,-0.03,-0.01,10,10,10,"10, 10, 10"
1088,sensory motor,0.0,0.63,-0.07,-0.02,10,10,10,"10, 10, 10"
1089,sentence,-0.0,0.54,0.05,0.01,10,10,10,"10, 10, 10"
1090,sentence comprehension,-0.0,0.57,0.05,0.02,10,10,10,"10, 10, 10"
1091,sentences,0.0,0.54,0.04,-0.0,10,10,10,"10, 10, 10"
1092,separation,-0.0,0.64,0.0,-0.01,10,10,10,"10, 10, 10"
1093,sequence,-0.0,0.43,-0.02,0.01,10,10,10,"10, 10, 10"
1094,sequences,0.0,0.62,-0.01,-0.01,10,10,10,"10, 10, 10"
1095,sequential,-0.0,0.45,-0.06,-0.02,10,10,10,"10, 10, 10"
1096,serial,0.0,0.5,0.02,0.01,10,10,10,"10, 10, 10"
1097,serotonin,0.0,0.39,-0.0,0.0,10,10,10,"10, 10, 10"
1098,sex,-0.0,0.48,-0.0,-0.0,10,10,10,"10, 10, 10"
1099,sexual,0.0,0.62,0.03,0.04,10,10,10,"10, 10, 10"
1100,sham,0.0,0.43,-0.01,-0.0,10,10,10,"10, 10, 10"
1101,shapes,0.0,0.35,-0.04,-0.0,10,10,10,"10, 10, 10"
1102,shifting,-0.0,0.68,0.02,0.04,10,10,10,"10, 10, 10"
1103,shifts,0.0,0.57,-0.04,-0.01,10,10,10,"10, 10, 10"
1104,short term,-0.0,0.57,-0.01,-0.01,10,10,10,"10, 10, 10"
1105,si,0.0,0.66,-0.14,-0.04,10,10,10,"10, 10, 10"
1106,sighted,0.0,0.26,-0.17,-0.04,10,10,10,"10, 10, 10"
1107,signal task,4.57,0.77,0.12,0.1,10,10,10,"10, 10, 10"
1108,signaling,0.0,0.5,0.02,0.01,10,10,10,"10, 10, 10"
1109,sii,-0.0,0.4,-0.12,-0.04,10,10,10,"10, 10, 10"
1110,silent,-0.0,0.37,-0.03,-0.02,10,10,10,"10, 10, 10"
1111,similarity,-0.0,0.59,0.01,0.02,10,10,10,"10, 10, 10"
1112,simulation,-0.0,0.49,-0.03,-0.02,10,10,10,"10, 10, 10"
1113,size,-0.0,0.55,0.0,-0.0,10,10,10,"10, 10, 10"
1114,sizes,-0.0,0.66,-0.0,-0.0,10,10,10,"10, 10, 10"
1115,skin,0.0,0.52,-0.02,-0.02,10,10,10,"10, 10, 10"
1116,skin conductance,0.0,0.46,0.01,-0.01,10,10,10,"10, 10, 10"
1117,sleep,-0.0,-0.0,0.01,-0.01,10,10,10,"10, 10, 10"
1118,smokers,0.0,0.21,0.01,0.04,10,10,10,"10, 10, 10"
1119,smoking,-0.0,0.23,0.01,0.04,10,10,10,"10, 10, 10"
1120,sn,-0.0,0.7,0.04,0.01,10,10,10,"10, 10, 10"
1121,social,-0.0,0.47,0.03,-0.03,10,10,10,"10, 10, 10"
1122,social cognition,0.0,0.41,0.02,-0.02,10,10,10,"10, 10, 10"
1123,social cognitive,-0.0,0.51,-0.0,-0.01,10,10,10,"10, 10, 10"
1124,social interaction,-0.0,0.4,0.01,-0.02,10,10,10,"10, 10, 10"
1125,social interactions,-0.0,0.51,-0.01,-0.02,10,10,10,"10, 10, 10"
1126,socially,-0.0,0.46,0.02,-0.02,10,10,10,"10, 10, 10"
1127,solving,-0.0,0.56,0.04,0.02,10,10,10,"10, 10, 10"
1128,somatosensory,0.0,0.5,-0.25,-0.06,10,10,10,"10, 10, 10"
1129,somatosensory cortex,-0.0,0.52,-0.19,-0.05,10,10,10,"10, 10, 10"
1130,somatosensory cortices,-0.0,0.55,-0.11,-0.01,10,10,10,"10, 10, 10"
1131,sound,0.0,0.43,-0.07,-0.03,10,10,10,"10, 10, 10"
1132,sounds,-0.0,0.31,-0.08,-0.04,10,10,10,"10, 10, 10"
1133,source,0.0,0.47,-0.01,0.02,10,10,10,"10, 10, 10"
1134,sources,0.0,0.63,-0.0,0.05,10,10,10,"10, 10, 10"
1135,space,-0.0,0.48,-0.02,-0.01,10,10,10,"10, 10, 10"
1136,spatial,0.0,0.5,-0.14,-0.03,10,10,10,"10, 10, 10"
1137,spatial attention,0.0,0.51,-0.11,-0.02,10,10,10,"10, 10, 10"
1138,spatial information,0.0,0.49,-0.06,-0.02,10,10,10,"10, 10, 10"
1139,spatial temporal,0.0,0.48,0.0,-0.02,10,10,10,"10, 10, 10"
1140,spatially,0.0,0.5,-0.02,-0.0,10,10,10,"10, 10, 10"
1141,spatiotemporal,0.0,0.62,-0.01,-0.01,10,10,10,"10, 10, 10"
1142,speaker,0.0,0.57,-0.04,-0.03,10,10,10,"10, 10, 10"
1143,speakers,-0.0,0.47,0.02,0.03,10,10,10,"10, 10, 10"
1144,speaking,-0.0,0.6,-0.02,-0.0,10,10,10,"10, 10, 10"
1145,spectrum,0.0,0.54,-0.01,-0.02,10,10,10,"10, 10, 10"
1146,spectrum disorder,0.0,0.6,0.0,-0.01,10,10,10,"10, 10, 10"
1147,spectrum disorders,-0.0,0.19,-0.02,-0.03,10,10,10,"10, 10, 10"
1148,speech,0.0,0.47,-0.09,-0.04,10,10,10,"10, 10, 10"
1149,speech perception,-0.0,0.44,-0.07,-0.03,10,10,10,"10, 10, 10"
1150,speech production,0.0,0.55,-0.1,-0.03,10,10,10,"10, 10, 10"
1151,spl,0.0,0.38,-0.12,-0.02,10,10,10,"10, 10, 10"
1152,spoken,0.0,0.41,-0.03,-0.02,10,10,10,"10, 10, 10"
1153,spontaneous,0.0,0.39,-0.0,-0.0,10,10,10,"10, 10, 10"
1154,stimulation,-0.0,0.49,-0.14,-0.05,10,10,10,"10, 10, 10"
1155,stimulation tms,-0.0,0.41,-0.07,0.01,10,10,10,"10, 10, 10"
1156,stop,-0.0,0.72,0.12,0.12,10,10,10,"10, 10, 10"
1157,stop signal,4.27,0.76,0.13,0.12,10,10,10,"10, 10, 10"
1158,storage,0.0,0.61,0.03,0.03,10,10,10,"10, 10, 10"
1159,strategic,0.0,0.54,0.01,-0.01,10,10,10,"10, 10, 10"
1160,strategies,-0.0,0.44,0.01,-0.0,10,10,10,"10, 10, 10"
1161,strategy,0.0,0.61,0.01,0.01,10,10,10,"10, 10, 10"
1162,stream,0.0,0.45,-0.06,-0.01,10,10,10,"10, 10, 10"
1163,streams,0.0,0.23,-0.04,-0.02,10,10,10,"10, 10, 10"
1164,stress,-0.0,0.58,0.0,0.0,10,10,10,"10, 10, 10"
1165,stress disorder,-0.0,0.64,-0.01,-0.01,10,10,10,"10, 10, 10"
1166,striatal,4.27,0.66,0.36,0.48,10,10,10,"10, 10, 10"
1167,striatum,5.69,0.67,0.3,0.42,10,10,10,"10, 10, 10"
1168,stroke,-0.0,0.32,-0.06,-0.0,10,10,10,"10, 10, 10"
1169,stroop,-0.0,0.58,0.03,0.04,10,10,10,"10, 10, 10"
1170,stroop task,-0.0,0.6,0.02,0.01,10,10,10,"10, 10, 10"
1171,sts,-0.0,0.2,-0.08,-0.03,10,10,10,"10, 10, 10"
1172,subcortical,4.77,0.67,0.24,0.27,10,10,10,"10, 10, 10"
1173,subcortical structures,-0.0,0.6,0.02,0.02,10,10,10,"10, 10, 10"
1174,subgenual,-0.0,0.29,-0.0,-0.0,10,10,10,"10, 10, 10"
1175,subjective,0.0,0.5,0.01,0.03,10,10,10,"10, 10, 10"
1176,subsequent,-0.0,0.57,-0.01,0.0,10,10,10,"10, 10, 10"
1177,subsequent memory,-0.0,0.4,0.01,-0.0,10,10,10,"10, 10, 10"
1178,substance,-0.0,0.63,-0.0,-0.0,10,10,10,"10, 10, 10"
1179,substantia,4.91,0.8,0.12,0.18,10,10,10,"10, 10, 10"
1180,subtraction,0.0,0.57,-0.01,0.01,10,10,10,"10, 10, 10"
1181,success,-0.0,0.5,0.04,0.02,10,10,10,"10, 10, 10"
1182,suffering,-0.0,0.45,-0.01,0.0,10,10,10,"10, 10, 10"
1183,sulci,0.0,0.5,-0.04,-0.01,10,10,10,"10, 10, 10"
1184,sulcus,0.0,0.45,-0.17,-0.02,10,10,10,"10, 10, 10"
1185,sulcus ips,-0.0,0.47,-0.08,0.04,10,10,10,"10, 10, 10"
1186,sulcus sts,0.0,0.28,-0.06,-0.02,10,10,10,"10, 10, 10"
1187,superior,-0.0,0.44,-0.11,-0.07,10,10,10,"10, 10, 10"
1188,superior inferior,0.0,0.4,-0.06,-0.01,10,10,10,"10, 10, 10"
1189,superior middle,0.0,0.53,-0.02,-0.02,10,10,10,"10, 10, 10"
1190,superior parietal,-0.0,0.45,-0.19,-0.02,10,10,10,"10, 10, 10"
1191,superior temporal,0.0,0.45,-0.1,-0.06,10,10,10,"10, 10, 10"
1192,supplementary,0.0,0.46,-0.08,0.02,10,10,10,"10, 10, 10"
